model,leakage_prevention,representation,accuracy,f1_weighted,f1_macro,train_time_sec
BERTino + RF,No,BERTino,0.5901173124777818,0.5848590463489658,0.5860784235057251,537.352769613266
BERTino + LogReg,No,BERTino,0.3528854129636213,0.31903176156918506,0.3182523150531028,25.085413694381714
BERTino + SGD,No,BERTino,0.2624718568550776,0.22173207738834333,0.2203577638453561,11.238028526306152
BERTino + RF,Yes,BERTino,0.5864438914563337,0.5806563929453925,0.5819203106070087,546.794872045517
BERTino + LogReg,Yes,BERTino,0.3448275862068966,0.31015176572130976,0.30915508163470257,26.955876111984253
BERTino + SGD,Yes,BERTino,0.2561914918829245,0.21515444257512356,0.2136321810971429,11.373253345489502
TF-IDF + RF,No,TF-IDF,0.6690366157127622,0.6653854890994866,0.6662726929279646,73.84888696670532
TF-IDF + LogReg,No,TF-IDF,0.5266026780424221,0.5206865383857422,0.5212894317857574,33.84476852416992
TF-IDF + SGD,No,TF-IDF,0.48856499585258917,0.48001758131304917,0.48042674612005976,6.339906454086304
TF-IDF + RF,Yes,TF-IDF,0.6618082711221709,0.6583326657827968,0.6591415279571241,73.9510338306427
TF-IDF + LogReg,Yes,TF-IDF,0.5225737646640597,0.5162797206794048,0.5169161598489496,34.30003023147583
TF-IDF + SGD,Yes,TF-IDF,0.4850100722834459,0.4769838465329174,0.47751358844161196,6.654411554336548
